video_id,utterance_id,phenomenon,good_sentence,bad_sentence,hypothesis,good_nll,bad_nll,nll_diff,bleurt
8-Ben-Control-of-sound-places_12,801,conditional,"Deaf people scream and if it goes over the spectrum, people would notice it.","Deaf people scream and when it goes over the spectrum, people would notice it.","When the sexual acceleration of a sexual acceleration is extremely high, the sexual acceleration of a sexual acceleration can be recognized.",1.1582273254050064,1.1484156145796747,-0.009811710825331721,36.55830919742584
Rachel_2012-02-09_sc57_9,802,conditional,"Even if you make only one tiny mistake, it will be tossed out.","Even when you make only one tiny mistake, it will be tossed out.",She wrote something wrong with whom she wrote.,1.1624249764496373,1.2121126662080104,0.04968768975837312,28.442496061325073
2-Ben-Voice-Identity_15,803,conditional,How do I trust them if I don't know who they are?,How do I trust them when I don't know who they are?,How do I trust you?,1.0331136137247086,1.0112509882220855,-0.02186262550262308,59.531038999557495
Cory_2013-6-27_sc109_21,804,conditional,"I don't think he was planning to go, but if I see him, I'll have him call you.","I don't think he was planning to go, but when I see him, I'll have him call you.","I don't think he plans to go because if he sees it, I will let you know that he will call.",0.7376545569093167,0.7340218680508342,-0.003632688858482447,66.10262393951416
Cory_2013-6-27_sc109_21,805,conditional,"I like it, if it has butter, I'm fine with that.","I like it, when it has butter, I'm fine with that.","All I like is that if you have a butter inside, that is really cool.",0.9931732096842357,1.0971329915611183,0.1039597818768826,62.026023864746094
Rachel_2012-02-09_sc61_9,806,conditional,I will be thrilled if I see my friend tomorrow.,I will be thrilled when I see my friend tomorrow.,I'm thrilled to see a friend tomorrow and I'm thrilled.,0.720048667707791,0.5905686619132757,-0.12948000579451524,65.10626673698425
Cory_2013-6-27_sc112_17,807,conditional,"If a group of friends go camping together, I will join them.","When a group of friends go camping together, I will join them.","If you and your friends are in the camp, we can join our camp.",1.0497623687518425,1.061800151885975,0.012037783134132507,54.62954640388489
Rachel_2012-01-27_sc55_13,808,conditional,"If an interpreter comes, it will be a strange situation.","When an interpreter comes, it will be a strange situation.","If it arrives, it is a strange situation.",0.8529079792400202,0.8465514245553541,-0.006356554684666005,52.776867151260376
Jonathan_2012-11-27_sc97_19,809,conditional,"If Bob adopts a big dog, he has to accept that he will spend lots of money on the dog.","When Bob adopts a big dog, he has to accept that he will spend lots of money on the dog.","If the Bob takes a big dog, it has to be accepted and cuts off the heat.",1.0839878226919422,1.141295660119713,0.0573078374277709,44.422847032547
Cory_2013-6-27_sc115_17,810,conditional,"If Bob decides to adopt a big dog, he will have to accept the fact that he will spend lots of money on dog food.","When Bob decides to adopt a big dog, he will have to accept the fact that he will spend lots of money on dog food.","If the baby takes a big fish, then you have to accept a smooth drug food.",0.8512415381197909,0.927404082890438,0.0761625447706471,34.287652373313904
